loading word embeddings...
Loaded word embeddings from cache.

 
 [=---------------------------------------] ...Epoch 1, Loss: 0.6993
 
 [=---------------------------------------] ...Epoch 1, Loss: 0.6928
 
 [==--------------------------------------] ...Epoch 1, Loss: 0.6976
 
 [==--------------------------------------] ...Epoch 1, Loss: 0.6925
 
 [===-------------------------------------] ...Epoch 1, Loss: 0.6938
 
 [===-------------------------------------] ...Epoch 1, Loss: 0.6947
 
 [====------------------------------------] ...Epoch 1, Loss: 0.6923
 
 [====------------------------------------] ...Epoch 1, Loss: 0.6916
 
 [=====-----------------------------------] ...Epoch 1, Loss: 0.6891
 
 [=====-----------------------------------] ...Epoch 1, Loss: 0.6902
 
 [======----------------------------------] ...Epoch 1, Loss: 0.6874
 
 [======----------------------------------] ...Epoch 1, Loss: 0.6994
 
 [=======---------------------------------] ...Epoch 1, Loss: 0.6924
 
 [=======---------------------------------] ...Epoch 1, Loss: 0.6949
 
 [========--------------------------------] ...Epoch 1, Loss: 0.7004
 
 [========--------------------------------] ...Epoch 1, Loss: 0.6943
 
 [=========-------------------------------] ...Epoch 1, Loss: 0.6931
 
 [=========-------------------------------] ...Epoch 1, Loss: 0.6887
 
 [==========------------------------------] ...Epoch 1, Loss: 0.6881
 
 [==========------------------------------] ...Epoch 1, Loss: 0.6878
 
 [===========-----------------------------] ...Epoch 1, Loss: 0.6921
 
 [===========-----------------------------] ...Epoch 1, Loss: 0.6918
 
 [============----------------------------] ...Epoch 1, Loss: 0.6875
 
 [============----------------------------] ...Epoch 1, Loss: 0.6908
 
 [=============---------------------------] ...Epoch 1, Loss: 0.6880
 
 [=============---------------------------] ...Epoch 1, Loss: 0.6880
 
 [==============--------------------------] ...Epoch 1, Loss: 0.6842
 
 [==============--------------------------] ...Epoch 1, Loss: 0.6822
 
 [===============-------------------------] ...Epoch 1, Loss: 0.6827
 
 [===============-------------------------] ...Epoch 1, Loss: 0.6797
 
 [================------------------------] ...Epoch 1, Loss: 0.6777
 
 [================------------------------] ...Epoch 1, Loss: 0.6723
 
 [=================-----------------------] ...Epoch 1, Loss: 0.6731
 
 [=================-----------------------] ...Epoch 1, Loss: 0.6754
 
 [==================----------------------] ...Epoch 1, Loss: 0.6774
 
 [==================----------------------] ...Epoch 1, Loss: 0.6911
 
 [===================---------------------] ...Epoch 1, Loss: 0.6737
 
 [===================---------------------] ...Epoch 1, Loss: 0.6814
 
 [====================--------------------] ...Epoch 1, Loss: 0.6845
 
 [====================--------------------] ...Epoch 1, Loss: 0.6587
 
 [=====================-------------------] ...Epoch 1, Loss: 0.6494
 
 [======================------------------] ...Epoch 1, Loss: 0.6511
 
 [======================------------------] ...Epoch 1, Loss: 0.6446
 
 [=======================-----------------] ...Epoch 1, Loss: 0.6544
 
 [=======================-----------------] ...Epoch 1, Loss: 0.6334
 
 [========================----------------] ...Epoch 1, Loss: 0.6498
 
 [========================----------------] ...Epoch 1, Loss: 0.6192
 
 [=========================---------------] ...Epoch 1, Loss: 0.6316
 
 [=========================---------------] ...Epoch 1, Loss: 0.5785
 
 [==========================--------------] ...Epoch 1, Loss: 0.6617
 
 [==========================--------------] ...Epoch 1, Loss: 0.6418
 
